Parent Task,Total Effort (hrs),Total Effort (days),Child Task,Child Effort (hrs),Child Effort (days),Notes
SI Nach WBS — Total (with 20% buffer),253.8h,28.2 days,,,, 
,,,,,,
SI Nach — Feature Development,49h,5.4 days,,,, 
,,,An API for SI Mandate PFR raise for child thread,1h,0.1 days,
,,,New 4 Queues Addition (Maker Checker and their Views),2h,0.2 days,
,,,New Filter for advance search and Column Addition,1h,0.1 days,
,,,Mandate Decision Page – Document Viewer (image display zoom field highlight),6h,0.7 days,POC required (HLE)
,,,Mandate Decision Page – NACH Form Details (ICR/OCR editable fields + comparison),3h,0.3 days,API integration included
,,,Mandate Decision Page – Decision Section (Maker fields PFR dropdown validations),6h,0.7 days,API integration included
,,,APIs for Save & Submit,5h,0.6 days,
,,,Mandate Decision Page – Audit Section,1h,0.1 days,
,,,Checker Mandate Decision Page (reuse Maker components + Checker fields),2h,0.2 days,
,,,PR Review & Merge & Deploy,2h,0.2 days,
,,,Testing,72h,8.0 days,1-1.5 days per cycle — total 8 days estimated
,,,,,,
ICR/OCR & Backend APIs,30h,3.3 days,,,, 
,,,API Creation for calling ICR/OCR and save data in DB,4h,0.4 days,
,,,Fuzzy Logic or Comparison and save data in DB,4h,0.4 days,
,,,API integration to push MPQ if auto matched,2h,0.2 days,
,,,New API for Day2 cases,2h,0.2 days,
,,,ICR/OCR API integration for Day2 cases,1h,0.1 days,
,,,ICR/OCR API integration in S3Upload API,1h,0.1 days,
,,,workflow APIs integration,1h,0.1 days,
,,,BNC API integration,1h,0.1 days,
,,,PFR API integration,1h,0.1 days,
,,,Old PFR raise and DocIndexing remove,3h,0.3 days,
,,,ICR/OCR of SIM/ECS/NCH Document,18h,2.0 days,HLE — 2 days
,,,,,,
WorkFlow & BNC,45h,5.0 days,,,, 
,,,WorkFlow,18h,2.0 days,
,,,Thread creation and its End to End Movement and API Integration,13.5h,1.5 days,
,,,Testing (Workflow),4.5h,0.5 days,
,,,BNC,9h,1.0 days,
,,,,,,
Infrastructure & Quality,36h,4.0 days,,,, 
,,,Connection pooling implementation + tuning + testing with load,8h,0.9 days,3+3+2 hrs
,,,Schema creations — constraints and indexing (DB storage optimization),8h,0.9 days,4+4 hrs
,,,Swagger implementations,4h,0.4 days,
,,,Tracing and log monitoring,4h,0.4 days,
,,,Graceful handling (graceful shutdown server threads etc.),8h,0.9 days,4+4 hrs
,,,Memory monitoring tool usage during development,4h,0.4 days,
,,,,,,
Buffer (20%),42.3h,4.7 days,,,, 
,,,,,,
GRAND TOTAL,253.8h,28.2 days,,,, 
,,,,,,
NOTE: 1 day = 9 hours,,,,,,
